image_name|concept_dep|robot_caption|human_caption|human_caption0|human_caption1|human_caption2|human_caption3
2629302765.jpg|{'potted plant': ['OBJECT', ' is to the right of '], 'person': ['ACTOR', ' is to the right of '], 'sports ball': ['OBJECT', '']}| I see a potted plant and  2 persons. I note that the potted plant is to the right of  the 2 persons. I also see  2 sports balls.|| A young girl wearing pink pants and white sandals waters potted plants on the sidewalk .| A asian girl waters plants next to the driveway as a lady walks past on the sidewalk .| A small girl waters a plant on the sidewalk while a woman walks by in the background .| A toddler with pink pants , pours water into a small plant .
2420549526.jpg|{'person': ['ACTOR', ' is to the left of '], 'spoon': ['OBJECT', ' is to the left of ']}| I see a person and a spoon. I note that the person is to the left of the spoon.|| A man sitting on a kitchen floor using wooden spoons to hit metal pans .| A man playing the drums on a set of pots and pans with wooden spoons .| Man beating on pots and pans with a wooden spoon and stick .| A man sitting on the kitchen floor playing drums on pots .
284644694.jpg|{'bicycle': ['OBJECT', ' is to the right of '], 'person': ['ACTOR', ' is to the right of ']}| I see a bicycle and  6 persons. I note that the bicycle is to the right of  the 6 persons.|| A dark-skinned young girl is having her sneakers polished by a shoeshine boy in India .| Spectators watch a man clean a child 's shoes at a curbside shoeshine stand .| A group of Indian men clean a little girls shoe with a toothbrush and paste .| A young dark-skinned girl is having her sneakers polished .
211402278.jpg|{'sheep': ['ACTOR', ' is to the left of '], 'car': ['OBJECT', ' is to the left of '], 'person': ['ACTOR', '']}| I see  3 sheeps and  14 cars. I note that  the 3 sheeps is to the left of  the 14 cars. I also see  5 persons.|| Sheep farmers are crouching and preparing to feed their animals as the sheepdog watches closely by .| Two people are feeding sheep in a field with a dog nearby and three more people looking at them .| There are people feeding sheep and a dog is herding them .| Two men are paddling a boat , by a lot of trees .
2098418613.jpg|{'dog': ['ACTOR', ' is to the right of '], 'car': ['OBJECT', ' is to the right of '], 'toilet': ['OBJECT', ' is to the right of '], 'bench': ['LOCATION', ' is to the right of '], 'potted plant': ['OBJECT', '']}| I see a dog and a car. I note that the dog is to the right of the car. I see a toilet and a bench. I note that the toilet is to the right of the bench. I also see a potted plant.|| A brown chow mix dog is standing in front of a van with euro plats in the middle of a messy yard .| A large brown dog stands in front of a green van in the yard of a house .| A yellow dog is standing in front of a green car and next to a toilet .| A brown dogs walks near a green van and some junk .
2330765551.jpg|{'person': ['ACTOR', ' is near '], 'bicycle': ['OBJECT', ' is near ']}| I see  2 persons and  2 bicycles. I note that  the 2 persons is near  the 2 bicycles.|| A man and a woman ride bicycles away from the camera as they traverse a remote area toward undulating hills , with blue sky in the background .| Two people bicycle on a path separated by small mountains .| Two people riding bikes through a mountainous region .| Two cyclists traverse a green terrain .
2403832405.jpg|{'person': ['ACTOR', ' is near '], 'bottle': ['OBJECT', ' is near ']}| I see a person and a bottle. I note that the person is near the bottle.|| A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .| A blond man , who is wearing a black t-shirt is playing a game of scrabble and is surrounded by vegetables .| A man playing a game of Scrabble against some vegetables .| One guy wearing a black shirt playing Scrabble .
2324749825.jpg|{'elephant': ['ACTOR', ' is to the right of '], 'person': ['ACTOR', ' is to the right of ']}| I see a elephant and  8 persons. I note that the elephant is to the right of  the 8 persons.|| A young man has his head inspected by the trunk of an elephant while other children wearing identical clothing watch .| Young Indian children in an old stone building watching an elephant who his touching one child on the head .| Indian man with elephant and group of indian children in temple .| An elephant hold his trunk to a boy 's head while others watch .
2331827016.jpg|{'person': ['ACTOR', ' is to the right of '], 'horse': ['ACTOR', ' is to the right of ']}| I see a person and a horse. I note that the person is to the right of the horse.|| An equestrian rider in uniform jumps their white horse over a fence .| A horse , ridden by a jockey , is completing a jump over a fence .| A person riding a gray horse who has just jumped .| Rider riding horse as it jumps over a fence .
2123995873.jpg|{'person': ['ACTOR', ' is near '], 'traffic light': ['LOCATION', ' is near '], 'sports ball': ['OBJECT', '']}| I see a person and  2 traffic lights. I note that the person is near  the 2 traffic lights. I also see a sports ball.|| A lone leafless tree of about 25 feet stands in front of a construction site using blue mesh and a construction worker resting an arm on a traffic light pole .| A person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .| A construction worker is leaning against a traffic light pole in front of a construction site .| Construction worker leaning against under a crosswalk light .
